Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
459,Angus,Brayshaw,MID,,MEL,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1833,22,77,83.32,93,81.4,N/A,Brayshaw didn't quite get to the score we needed him to as he had only 57% efficiency for his 26 touches. He did top the clearance list for the Demons though so this could be a one off hopefully.,
576,Scott,Lycett,RUC,FWD,PTA,N/A,N/A,N/A,Man of Steele,,,owner,1825,18,129,101.39,108.33,104,N/A,N/A,
168,Tom,Phillips,MID,,COL,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1825,22,67,82.95,75.33,78.8,N/A,N/A,
323,Mark,Blicavs,DEF,,GEE,N/A,N/A,N/A,Swimming n Titch,,,owner,1820,22,36,82.73,77.67,86.6,N/A,N/A,
387,Jacob,Hopper,MID,,GWS,N/A,N/A,N/A,DEVQON.1,,,owner,1820,19,0,95.79,93.33,89.4,N/A,Hopper had the second best score for the Giants and had a fantastic 15 contested possessions out of his 28 touches. An interesting unique.,
399,Heath,Shaw,DEF,,GWS,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1818,22,90,82.64,89,90,N/A,N/A,
530,Robbie,Tarrant,DEF,,NTH,N/A,N/A,N/A,Casting Crouch,,,owner,1814,22,96,82.45,83.67,74.8,N/A,N/A,
489,Christian,Salem,DEF,,MEL,N/A,N/A,N/A,DEVQON.1,,,owner,1809,20,64,90.45,66.67,67.8,N/A,N/A,
708,Callum,Mills,DEF,,SYD,N/A,N/A,N/A,Fire The Worpedo,,,owner,1799,22,82,81.77,73.67,78.2,N/A,Mills had a great JLT with a 106 and a 93. At his handy price bracket he could be a unique midpricer that pays off.,
298,Darcy,MacPherson,FWD,,GCS,N/A,N/A,N/A,Man of Steele,,,owner,1798,22,97,81.73,71.67,69.6,N/A,N/A,
121,Sam,Petrevski-Seton,FWD,,CAR,N/A,N/A,N/A,Barbeques Treloar,,,owner,1796,22,28,81.64,61.67,73.8,N/A,N/A,
