,Round,Game Number,ID,Team Name,Coach,Final,Points,Rank,Opponent ID,Opponent Team Name,Opponent Coach,Opponent Final,Opponent Points,Opponent Rank
77,20,2,25252,Casting Crouch,Jordan,18,1809,1,7061,DEVQON.1,Lester,18,1631,5
78,20,3,831,Salt&VinegarCripps,Anthony,18,1694,2,397,Man of Steele,Luke,18,1684,3
78,20,3,397,Man of Steele,Luke,18,1684,3,831,Salt&VinegarCripps,Anthony,18,1694,2
76,20,1,344,TryingAnewStratton,Paul,18,1652,4,11070,Fire The Worpedo,James,18,1623,6
77,20,2,7061,DEVQON.1,Lester,18,1631,5,25252,Casting Crouch,Jordan,18,1809,1
76,20,1,11070,Fire The Worpedo,James,18,1623,6,344,TryingAnewStratton,Paul,18,1652,4
79,20,4,2501,Swimming n Titch,Mark,18,1508,7,8740,Barbeques Treloar,Simon,18,1474,8
79,20,4,8740,Barbeques Treloar,Simon,18,1474,8,2501,Swimming n Titch,Mark,18,1508,7
82,21,3,2501,Swimming n Titch,Mark,18,1777,1,25252,Casting Crouch,Jordan,18,1618,6
81,21,2,831,Salt&VinegarCripps,Anthony,18,1770,2,11070,Fire The Worpedo,James,18,1713,3
81,21,2,11070,Fire The Worpedo,James,18,1713,3,831,Salt&VinegarCripps,Anthony,18,1770,2
80,21,1,344,TryingAnewStratton,Paul,18,1637,4,7061,DEVQON.1,Lester,18,1383,8
83,21,4,8740,Barbeques Treloar,Simon,18,1624,5,397,Man of Steele,Luke,18,1559,7
82,21,3,25252,Casting Crouch,Jordan,18,1618,6,2501,Swimming n Titch,Mark,18,1777,1
83,21,4,397,Man of Steele,Luke,18,1559,7,8740,Barbeques Treloar,Simon,18,1624,5
80,21,1,7061,DEVQON.1,Lester,18,1383,8,344,TryingAnewStratton,Paul,18,1637,4
86,22,3,8740,Barbeques Treloar,Simon,18,1727,1,11070,Fire The Worpedo,James,18,1607,7
87,22,4,397,Man of Steele,Luke,18,1700,2,25252,Casting Crouch,Jordan,18,1610,6
85,22,2,2501,Swimming n Titch,Mark,18,1665,3,7061,DEVQON.1,Lester,18,1545,8
84,22,1,831,Salt&VinegarCripps,Anthony,18,1662,4,344,TryingAnewStratton,Paul,18,1657,5
84,22,1,344,TryingAnewStratton,Paul,18,1657,5,831,Salt&VinegarCripps,Anthony,18,1662,4
87,22,4,25252,Casting Crouch,Jordan,18,1610,6,397,Man of Steele,Luke,18,1700,2
86,22,3,11070,Fire The Worpedo,James,18,1607,7,8740,Barbeques Treloar,Simon,18,1727,1
85,22,2,7061,DEVQON.1,Lester,18,1545,8,2501,Swimming n Titch,Mark,18,1665,3
91,23,4,397,Man of Steele,Luke,18,1833,1,25252,Casting Crouch,Jordan,18,1674,5
88,23,1,344,TryingAnewStratton,Paul,18,1760,2,831,Salt&VinegarCripps,Anthony,18,1688,4
90,23,3,11070,Fire The Worpedo,James,18,1689,3,8740,Barbeques Treloar,Simon,17,1456,8
88,23,1,831,Salt&VinegarCripps,Anthony,18,1688,4,344,TryingAnewStratton,Paul,18,1760,2
91,23,4,25252,Casting Crouch,Jordan,18,1674,5,397,Man of Steele,Luke,18,1833,1
89,23,2,2501,Swimming n Titch,Mark,18,1663,6,7061,DEVQON.1,Lester,17,1464,7
89,23,2,7061,DEVQON.1,Lester,17,1464,7,2501,Swimming n Titch,Mark,18,1663,6
90,23,3,8740,Barbeques Treloar,Simon,17,1456,8,11070,Fire The Worpedo,James,18,1689,3
